measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,3,Rate,2002,70.92120467,77.98228072,64.61898739
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,1,Number,2003,539730.0527327963,592448.6987,492244.64390678506
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,1,Number,2003,331368.4668778114,365004.10587497376,301453.0162593565
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,1,Number,2003,871098.5196106087,956066.1973441194,794179.5015
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,2,Percent,2003,0.00026043,0.000291649,0.000232195
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,2,Percent,2003,0.00016034,0.000180076,0.000144017
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,2,Percent,2003,0.000210452,0.000235685,0.00018916
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,3,Rate,2003,82.18637686,90.21400935193999,74.9556257
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,3,Rate,2003,53.32593804,58.7388007,48.511751944850005
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,3,Rate,2003,68.15484562,74.80272623,62.13669304
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,1,Number,2004,528521.6672013468,580373.6825037503,481440.51458411536
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,1,Number,2004,316961.32519604097,348494.7419276629,288106.9747258598
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,1,Number,2004,845482.9923973884,928675.7989725912,770603.2304
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,2,Percent,2004,0.00025397,0.000284991,0.000226301
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,2,Percent,2004,0.000152318,0.000170586,0.000136647
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,2,Percent,2004,0.000203143,0.000227852,0.000182401
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,3,Rate,2004,80.10770294,87.9668809,72.97164169
6,Incidence,6,China,2,Female,22,All ages,297,Tuberculosis,3,Rate,2004,50.6763842,55.718007303549996,46.06309534
6,Incidence,6,China,3,Both,22,All ages,297,Tuberculosis,3,Rate,2004,65.78479973,72.25781239,59.95860312
6,Incidence,6,China,1,Male,22,All ages,297,Tuberculosis,1,Number,2005,521469.5578392122,572304.9845,474391.6559125852
