"Study.title","Study.ID","Column.name","Error.message"
"Prevalence and incidence of symptomatic pulmonary tuberculosis based on repeated population screening in a district in Ethiopia: a prospective cohort study",21313,"n.presumptive.tb.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
"A tuberculosis nationwide prevalence survey in Gambia, 2012",20811,"n.presumptive.tb.age.grp.total","Extracted total is not equal to sum of extracted stratified data."
NA,NA,"n.presumptive.tb.total","Difference in extracted totals are greater than 5%

                                                                  across stratifications of data.

                                                                  Check all totals against each other."
NA,NA,"n.presumptive.tb.total","Difference in extracted totals are greater than 5%

                                                                  across stratifications of data.

                                                                  Check all totals against each other."
"Low tuberculosis notification in mountainous Vietnam is not due to low case detection: a cross-sectional survey",26948,"n.symptoms.sex.total","Extracted total is not equal to sum of extracted stratified data."
"Prevalence of pulmonary tuberculosis among the adult population in Pakistan 2010-2011",26928,"n.symptoms.sex.total","Extracted total is not equal to sum of extracted stratified data."
"Gender differences in tuberculosis: a prevalence survey done in Bangladesh",26896,"n.symptoms.sex.total","Extracted total is not equal to sum of extracted stratified data."
"A baseline survey of the prevalence of tuberculosis in a community in south India at the commencement of a DOTS programme",26893,"n.symptoms.sex.total","Extracted total is not equal to sum of extracted stratified data."
"Prevalence of pulmonary TB and spoligotype pattern of Mycobacterium tuberculosis among TB suspects in a rural community in Southwest Ethiopia",26890,"n.symptoms.sex.total","Extracted total is not equal to sum of extracted stratified data."
"Tuberculosis burden in an urban population: A cross sectional tuberculosis survey from Guinea Bissau",26883,"n.symptoms.sex.total","Extracted total is not equal to sum of extracted stratified data."
"KENYA TUBERCULOSIS PREVALENCE SURVEY",26860,"n.symptoms.sex.total","Extracted total is not equal to sum of extracted stratified data."
"SURVEY FOR ASSESSING PREVALENCE OF PULMONARY TUBERCULOSIS CASES IN THE POPULATION BASED STATE OF GUJARAT, INDIA (2011-2012) Report on Population based survey to assess prevalence of pulmonary tuberculosis cases in the state of Gujarat, India (2011-12) Ded",26983,"n.symptoms.rurality.total","Extracted total is not equal to sum of extracted stratified data."
"NATIONAL TB PREVALENCE SURVEY
IN VIETNAM, 2006 - 2007 (DRAFT REPORT)",26973,"n.symptoms.rurality.total","Extracted total is not equal to sum of extracted stratified data."
"The first population-based national tuberculosis prevalence survey in Ethiopia, 2010-2011",26913,"n.symptoms.rurality.total","Extracted total is not equal to sum of extracted stratified data."
