"Study.title","Study.ID","Column.name"
"Sub-national prevalence survey of tuberculosis in rural communities of Ethiopia (LEMU)","26971","participant.definition"
"Sub-national prevalence survey of tuberculosis in rural communities of Ethiopia (SHEBEDINO)","26972","other.xpert.samples"
"Sub-national prevalence survey of tuberculosis in rural communities of Ethiopia (SHEBEDINO)","26972","other.culture.samples"
"Sub-national prevalence survey of tuberculosis in rural communities of Ethiopia (SHEBEDINO)","26972","other.test.used"
"Sub-national prevalence survey of tuberculosis in rural communities of Ethiopia (SHEBEDINO)","26972","participant.definition"
"Sub-national TB prevalence surveys in India, 2006-2012: Results of uniformly conducted data analysis (Age Stratification, Combined Sites)","26990","additional.references"
"SUDAN TB PREVALENCE SURVEY REPORT 2013 – 2014","26989","additional.references"
"SURVEY FOR ASSESSING PREVALENCE OF PULMONARY TUBERCULOSIS CASES IN THE POPULATION BASED STATE OF GUJARAT, INDIA (2011-2012) Report on Population based survey to assess prevalence of pulmonary tuberculosis cases in the state of Gujarat, India (2011-12) Ded","26983","additional.references"
"Survey for tuberculosis in an indigenous population of Amazonia: the Surui of Rondonia, Brazil","26879","study.rurality"
"Survey for tuberculosis in an indigenous population of Amazonia: the Surui of Rondonia, Brazil","26879","screening.criteria"
"Survey for tuberculosis in an indigenous population of Amazonia: the Surui of Rondonia, Brazil","26879","other.smear.samples"
"Survey for tuberculosis in an indigenous population of Amazonia: the Surui of Rondonia, Brazil","26879","other.xpert.samples"
"Survey for tuberculosis in an indigenous population of Amazonia: the Surui of Rondonia, Brazil","26879","other.test.used"
"Survey for tuberculosis in an indigenous population of Amazonia: the Surui of Rondonia, Brazil","26879","participant.definition"
"The first population-based national tuberculosis prevalence survey in Ethiopia, 2010-2011","26913","contact.investigation"
"The Gambian survey of tuberculosis prevalence (GAMSTEP)","26920","presumptive.tb.definition"
"The Gambian survey of tuberculosis prevalence (GAMSTEP)","26920","bacteriological.tb.definition"
"The prevalence of HIV among adults with pulmonary TB at a population level in Zambia","26918","other.smear.samples"
"The prevalence of HIV among adults with pulmonary TB at a population level in Zambia","26918","xpert.trace"
